상품명,가격,주소
삼성전자 갤럭시북4 프로 NT960XGQ-A51A,1545000,https://cr.shopping.naver.com/adcr.nhn?x=hrR9TRDCuj2mRNmN7DhsGv%2F%2F%2Fw%3D%3Ds64hFOVl0VdDWcJ5pCYT1cKFvoVnkTG0P18YOF1mTELMXtKWU5l2RZhzweonlysWaZiix5AjPZWXSEa4uIhN91fPkWQmle2V65pkFcVf6IBR4hwNt1smDDaxLud3ubHkOA7t5glsD1fuilsGk3GhlV8v%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKR6WD8KcBldft0wM54tS2vtjMLMF37IGTcafAkl8SUA1yVIMMNqLACnbjknB0qr9OINJO0cBUUOEf95BYgHLHSkPg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEpxKnnCtHUYWD%2B8HCFsn7uqOK2V7exMnun2FBCv4p788WkudW4LAgR4Xxl%2FdcF1QLKq5riTLhF6vEnK2mCUpqksd1woZLwre%2F0c6LfC8XQvOYaBrv%2FAYZ2VuMx%2BHoowSgik1O%2BbRykdeu%2FvbeBEkr3TVN3kmpzj8HKpYJst8kuZb42NcNqVIgWpfzSfKu99sFLPNRouOLVBR9bkVCm5wEj0Hs3T4qzSBIVN2HAysFdoOTaN6pcKWXH0JelKDqXdHlZTKfHuNbbeRvg3WFxJFRHVoKoDr6us%2BRKRCOTdsWr9TI%3D&nvMid=44884086618&catId=50000151
삼성전자 갤럭시북4 프로360 NT960QGK-K71AR,2399000,https://cr.shopping.naver.com/adcr.nhn?x=Dar73vVtaHVeSEnyo3Tehv%2F%2F%2Fw%3D%3Dsaeq5uCbeha%2B2AWK2bOD%2BxBJoCEAXjZ4FzqKF1aMBkqr2m%2FfFa014Vbw4CyFgdKsa6WlhIp9BjnHdYcqqRtdN3Ehwf23LaXI3%2BWBMrS282udbXyCWgblhATlkH5C9P4zXptzbKxkdv7T9NaJp9P8a8lVd6Z%2BmZ5fvTALbBBPmfKJiL5pNWLYG8nPcqciz%2FkvX0qWaq62rTDvrm0RThns%2FTBtDwm%2BqtcL%2F%2BsHW7V7DzFJvOkN1ObtekPcPUhD3%2FT7c7rNm5GDbb84wCB4v7qvvZsOmY27ZGze0Q%2BtXRlM4OxtarJoVrbEtunAYIkKGowOqmzJmAUJGY7WwrGLc5Joi5CEhb%2B5%2BbgCLWD5ufmjwVaCy5rjDnXk2U6sJ3Y5BNj1rZBwJofHPqeh6NHJbntTahqAhfbmRc6T9Q91MqoVII6p0dZVun8tw2qBXc%2BdUQUTYmoNIOjxrzAgR%2F6uXitgtjW9pGjtbvDCyBSlpShSqBWRqYEZWYf5Ea3Og%2Bnr09%2Br%2FlMveu5pUmt5mX6mUy4ug6qblpj1J%2BKJg7YXHfiYuRBpPVPBkjtCIAL0ODB5EUiMlCmH6fk9eN42L7CxTVlvu0UHQIiXcF4qwUXZ2sX76wW8%3D&nvMid=44880953618&catId=50000151
삼성전자 갤럭시북3 360 NT750QFT-A51A,1388000,https://cr.shopping.naver.com/adcr.nhn?x=CkM%2FeUpwFoLQ6LdXZ5yQMP%2F%2F%2Fw%3D%3DsiwKlZ%2F0Nm%2BZB2KWoPVxanTIhSdI2RSurw8Y%2FrhLS1tz2m%2FfFa014Vbw4CyFgdKsaafNKBlKZvDNWwPAZWHzA8Ehwf23LaXI3%2BWBMrS282udbXyCWgblhATlkH5C9P4zXptzbKxkdv7T9NaJp9P8a8lVd6Z%2BmZ5fvTALbBBPmfKIKuOP2P3h86n8hSq1Iw8%2BL50oISvBOZlvkpZL4TEiaIBtDwm%2BqtcL%2F%2BsHW7V7DzFJvOkN1ObtekPcPUhD3%2FT7c7rNm5GDbb84wCB4v7qvvZsOmY27ZGze0Q%2BtXRlM4OxtarJoVrbEtunAYIkKGowOqXIJ%2Blx1RJpBsZIX6sgqcgiEhb%2B5%2BbgCLWD5ufmjwVaCy5rjDnXk2U6sJ3Y5BNj1rdLjzZClbAJp2CxxyPG5XMaAhfbmRc6T9Q91MqoVII6qB%2Fid7qwtnXHi%2FUjXC6%2BqMcVC4oYEKH8Lz5NF2QbVvt5duxs%2B3Ze%2BKJKyMINm2G%2BDVkkCRZmdioRYBo1wEI0BTwtIYh35n85gCNF9XAudNivSpj72u56XCWCDQAt7rxzgWkkXaQrW%2BnsN4aEFoTdzgyi%2B4kkcAYLB3SEt%2FTOSjzgau4fTwOUqyF63FjwpQRls%3D&nvMid=37624157618&catId=50000151
삼성전자 갤럭시북2 NT550XED-K24A,498000,https://cr.shopping.naver.com/adcr.nhn?x=JuYBFwbnlDfL26a8F0Ikff%2F%2F%2Fw%3D%3DsjE6J%2B1ugNjj5t1gi9W9De7ev6FXCKkNxTIYLNK4b3CIXtKWU5l2RZhzweonlysWaWXb%2FyMyex5EPrH6BXsHAdvPkWQmle2V65pkFcVf6IBR4hwNt1smDDaxLud3ubHkOA7t5glsD1fuilsGk3GhlV8v%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKxsp1kaDa%2BEs8m5%2FDOqIw%2BNjMLMF37IGTcafAkl8SUA1yVIMMNqLACnbjknB0qr9OINJO0cBUUOEf95BYgHLHSkPg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEpw99vlgBylLezdRyM2v9Jf%2F0PqpzS9bsPbua3QvdT2KOkudW4LAgR4Xxl%2FdcF1QLKCOLqy7j3yJ1E4VDPpj5ns91woZLwre%2F0c6LfC8XQvOZfhi4BjwgIMvxXagqvhvBfJhgq47fpF6su3wL8K095tFN3kmpzj8HKpYJst8kuZb5sNl3JVdtBjgoSe03goMj9uu6hWTQwEWHGZEUDU8GMKZ9wH9uCiVcd7ecKFYxkBpfTUmk8g4RgCB5dJ4Ordid%2Bx9%2Fu3BDOJAbR7oUDUfWafR0cjwVm1BUYVknE7IEMpz4%3D&nvMid=43494810618&catId=50000151
삼성 15인치 갤럭시북 업무용 사무용 인강용 대학생 가성비 싼노트북 윈도우11포함 기본팩,499000,https://cr.shopping.naver.com/adcr.nhn?x=D%2BkCCVsHijl8qXLNAsKDhf%2F%2F%2Fw%3D%3DsZMAFUP5Ync9asrJACbewH2FEiA%2B1R6OB5TKGSJGxr68XtKWU5l2RZhzweonlysWawdyQR4wDsZIKjX4tdnTIFfPkWQmle2V65pkFcVf6IBR4hwNt1smDDaxLud3ubHkOLGUiP6HDz6JZY0ryO1a%2FOsVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0N9n2Zbwz4O8%2Fgx7ElNhvAQe6zZuRg22%2FOMAgeL%2B6r72bDpmNu2Rs3tEPrV0ZTODsbWqyaFa2xLbpwGCJChqMDqitt0NypkMnwqEcEa%2BC4IHMYQfMWrhH4ziRghGbSPvqMzzP1AE02N8MNWVtGJkp2mzery%2Fr2YhCSV5DVxNGRaAfN81WjUpxJVJrN5mDsz4BpVs%2BU6GLITStthWUvuJh0IdPIw9O54c4ncyaQfTm2or%2FM0n01cp%2FEN56eFOJnjg5QnfnSNabX3g5GRHWcwK4tK71ZjZplaTYS2Q9Wve%2BOmT2rYbHufPcuypmq1ilMaO4ZKmilsYqrmhAE4DkPc8DJ%2F0U4m0J%2FWot7R5jKIg3qoepzuJTiNavKtMMKGJvDwUQkBHE%2FgGZJAD2Eir6TxCDG3D1cz068bJRyD7Mw%2F1WHvv6yhrt8qtsmwpYlTtfH2J9wDLNM0pnWnCrhcxkwrOD6czYbUUSRJLaKc%2FYMP9awZhqCqA6%2BrrPkSkQjk3bFq%2FUy&nvMid=85662765582&catId=50000151
삼성전자 갤럭시북4 프로 NT940XGQ-A51A,1337550,https://cr.shopping.naver.com/adcr.nhn?x=2Tg8jjKW6OqYqCRDhEeJDP%2F%2F%2Fw%3D%3DsjevBJ%2F8KigcQ5yOVHwf6OcAThfxPM%2FeBgUF9k9gwSqoXtKWU5l2RZhzweonlysWaMdY7D3E82lXDCJuwztVt4%2FPkWQmle2V65pkFcVf6IBR4hwNt1smDDaxLud3ubHkOA7t5glsD1fuilsGk3GhlV8v%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkK9tddX4AUF%2Bjg7qn%2FbqnZLtjMLMF37IGTcafAkl8SUA1yVIMMNqLACnbjknB0qr9OINJO0cBUUOEf95BYgHLHSkPg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEpdO%2FsWo0mlLwHNGbLcz5alkh9jxwl6p%2B1jQdJ05GUBs2kudW4LAgR4Xxl%2FdcF1QLKHopbLIJELMUPwRu%2BQq7N%2BN1woZLwre%2F0c6LfC8XQvOa6mSCZCYSvV8n0pPyznxnPk1O%2BbRykdeu%2FvbeBEkr3TVN3kmpzj8HKpYJst8kuZb7GP2NI5NqTaxEvBqTSGuf4wzgiNLFORftEc5N3t1ewCbIDJwxbZo289j5i4fQbwHnqKfuJveKNq3sLccUcNTyYKKprCXHNzRiEqkI5nQikD4KoDr6us%2BRKRCOTdsWr9TI%3D&nvMid=44881382618&catId=50000151
삼성전자 갤럭시북4 프로 NT960XGK-K71A,1990710,https://cr.shopping.naver.com/adcr.nhn?x=3ALpOQ3o9yW71fVqJhupCP%2F%2F%2Fw%3D%3Ds5o7Z1FhBRueYDbVpbO3R4jVeTWT7SRShED8wXyLL0Y8XtKWU5l2RZhzweonlysWaypHW0iMQzlwtTqSYZz7OPPPkWQmle2V65pkFcVf6IBR4hwNt1smDDaxLud3ubHkOA7t5glsD1fuilsGk3GhlV8v%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKkDjXWTZRHhqyVvp2QCMCAtjMLMF37IGTcafAkl8SUA1yVIMMNqLACnbjknB0qr9OINJO0cBUUOEf95BYgHLHSkPg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEpbS00%2BAkJL6Gfq7zuTNQcUhK3DzFioRxK5Q14wqT3fBSkudW4LAgR4Xxl%2FdcF1QLKTB41i4UTDCPdJDrYS6QYRN1woZLwre%2F0c6LfC8XQvOYaBrv%2FAYZ2VuMx%2BHoowSgiQP0PLXsfRn5lhsoWcbg5TVN3kmpzj8HKpYJst8kuZb4c1Le8nlEPyfu3nHcTjDHmlnJvCdCOURtTV%2BK5wi%2FPTGbA61eFotY3BN9DaNL7K3zp0kLZi1saQvcvOPesF0L9%2BPcOp5xh3GfFud8%2FfyZt04KoDr6us%2BRKRCOTdsWr9TI%3D&nvMid=44880964618&catId=50000151
LG전자 울트라PC 라이젠 15인치 사무용 인강용 업무용 학생용 저렴한 가성비 LG노트북,549000,https://cr.shopping.naver.com/adcr.nhn?x=rTF%2FLVq7iU%2BRZCOHC11T6v%2F%2F%2Fw%3D%3Dss6KWHirG%2B307m1Qrn8rThgtG3MJCVs8DriyIn7m%2Fw%2BQXtKWU5l2RZhzweonlysWaTBP2il%2FTWQx66qjkMAAQcvPkWQmle2V65pkFcVf6IBR4hwNt1smDDaxLud3ubHkOLGUiP6HDz6JZY0ryO1a%2FOsVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0N1X5q7MFg2RdEjyhl0ixdJe6zZuRg22%2FOMAgeL%2B6r72bDpmNu2Rs3tEPrV0ZTODsbWqyaFa2xLbpwGCJChqMDqlYGkLTEDKUnGY3ySTFYWvW6YDouYgHDuEfypiuNa%2FUopLnVuCwIEeF8Zf3XBdUCyp5qB5c8FroY1Lg9EiN30HbdcKGS8K3v9HOi3wvF0LzmbJvPyPgjAhcUFj0pdWn%2BuWu9mI6kq68vfTU0DX%2FFh4LNE6Df5%2BVpE9qn8XeygVGAVQEsBCYp4Am406m%2FFveKSN%2FDE4n346ukmynXeTlDJq5u22iTW86CTGe7AqYSt9iSz%2FoBKI1%2B4y0rn3cRIK2S0bUX5oXmuSW%2BhDfvKCrHdiSq9e%2FCN2vpGkH8EuCN8NGnNDGCBudCft6iY88DY8HQvXFrwj4Os%2FMX7X5Gp9MEDe9pYdx7X83odY4u2%2FB2qLD5jWzBUqzvYp2C2kHSdHJxwVaFndIwdNwuWmKtx1HNSCrUkiyUGZ3FpPHvE7X48%2Bhb&nvMid=83718736488&catId=50000151
삼성전자 갤럭시북4 프로 NT960XGK-K71AR,2369650,https://cr.shopping.naver.com/adcr.nhn?x=z%2BNIn41WxHATio3In0Uaq%2F%2F%2F%2Fw%3D%3DsLqiNwiY%2B0P9%2FpWQP%2FhpftKuOSIm7cFQ3QyT4SgG3aZAXtKWU5l2RZhzweonlysWahQRD%2BZo%2FTmpc%2BRWCzbKucfPkWQmle2V65pkFcVf6IBR4hwNt1smDDaxLud3ubHkOA7t5glsD1fuilsGk3GhlV8v%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKtzzFIhUMAwvalH3DQBh4T9jMLMF37IGTcafAkl8SUA1yVIMMNqLACnbjknB0qr9OINJO0cBUUOEf95BYgHLHSkPg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEpOZhK2gFA77SNsF0YdT6pqI6ASpVItOrM%2F6AL8l%2FuOwOkudW4LAgR4Xxl%2FdcF1QLKRr7zsWO3qqWiGrzg8%2ByWYt1woZLwre%2F0c6LfC8XQvOYaBrv%2FAYZ2VuMx%2BHoowSgiZZcnBGqxsy0uz1C8ifxsf6WX4OkdQnUc0HiX%2FEfB6sBQh8d0QoT6v88KxGTqDAXqNa7ESU6KzQQ3PVklrqWg6L%2BGBoyQkiFtSLwcV09cBvegGXc3ehO2IHl6X8UBDRcEBo%2Fsczm9PoP62rAeDiKVKw4SwcLvxUEucVmH%2BcOht40%3D&nvMid=44880961618&catId=50000151
LG전자 그램 프로360 16TD90SP-KX56K,1999000,https://cr.shopping.naver.com/adcr.nhn?x=pvst%2BUo2rTxqY3dQUxwZ9v%2F%2F%2Fw%3D%3Ds%2FSwcyNZLrxmEM7e8x91WBYxZKXmbxD4ga8NyZ%2BUGHwj2m%2FfFa014Vbw4CyFgdKsa7725WP7uFIc4n8EDO%2BJmkEhwf23LaXI3%2BWBMrS282udbXyCWgblhATlkH5C9P4zXptzbKxkdv7T9NaJp9P8a8lVd6Z%2BmZ5fvTALbBBPmfKJiL5pNWLYG8nPcqciz%2FkvXsZpxJ0gP3r%2FaXONdtgyfxBtDwm%2BqtcL%2F%2BsHW7V7DzFJvOkN1ObtekPcPUhD3%2FT7c7rNm5GDbb84wCB4v7qvvZsOmY27ZGze0Q%2BtXRlM4OxtarJoVrbEtunAYIkKGowOq4etSBRXVOh7yl0eraau0oSEhb%2B5%2BbgCLWD5ufmjwVaCy5rjDnXk2U6sJ3Y5BNj1rbaeoh57AZGc0ON1hhl0zyaAhfbmRc6T9Q91MqoVII6oBQ5oPAmMmsIxxvF1p%2BJKnBVoaV4nVoYooij6XwbWad29pGjtbvDCyBSlpShSqBWTt%2FbvqmoRGKz44J027xX%2BBlMveu5pUmt5mX6mUy4ug6rr31KEQEvFNO0CKwjGKia0kc3xkPMcZrh6Ae9d4DbG0Ie1VdJezRm21lHcVxYWNqEHQIiXcF4qwUXZ2sX76wW8%3D&nvMid=44947569618&catId=50000151
(혜택가31만)LG 울트라PC 14인치 노트북 사무 업무 인강 학습용 저렴한 윈도우 탑재 노트북,369000,https://cr.shopping.naver.com/adcr.nhn?x=gkRP8MtaEx9EINcmjT5b7v%2F%2F%2Fw%3D%3DsydRbi%2FESeEss32sOe8d%2Bjgz9kKWfA%2FjbaYpbodlVKHUXtKWU5l2RZhzweonlysWa8KSLx34wzZCoca959kg4WvPkWQmle2V65pkFcVf6IBR4hwNt1smDDaxLud3ubHkOLGUiP6HDz6JZY0ryO1a%2FOsVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0NsQDo%2FoJIdhgHhCau2Lt2ke6zZuRg22%2FOMAgeL%2B6r72bDpmNu2Rs3tEPrV0ZTODsbWqyaFa2xLbpwGCJChqMDqu2zb88I5RO%2FcDXdZTq3rsye%2FrJ0ZDkqLt3qo%2BevQCEPzzP1AE02N8MNWVtGJkp2m0pfORNT7pfbRmgS6gCDz1fN81WjUpxJVJrN5mDsz4Bp%2Bae6DiNDa1wYKc7kTnyEeYCdHXF4xcO6lFisQM58bvygnr5Ijp5ux8HWE3bOzpuULgFWgoMRmOzPq3p8kehFh3yB8ZfzO6B3uQ1x4feiS0rmBiSOzH49DXI69VNfIT1aQqIiNNH%2BpAd0ClqrcisdBJkbb3lH%2BMopOnjyYezBMuB9U6eZSUcshztZ%2FTjde%2BV2cg%2BJK4QArpE1ck4B3k4%2FLXvJEjntGCkjvhDN6olz8XQHcjFKExBOYAcohjV0vbp8PKwtDsK1A5gXjcwxaZWFgXH7RrZpOconWTYHAdMJ5OFB0CIl3BeKsFF2drF%2B%2BsFv&nvMid=86332529467&catId=50000151
삼성전자 갤럭시북4 NT750XGR-A71A,998000,https://cr.shopping.naver.com/adcr.nhn?x=mZ1lJ6e7%2BovG0O3km%2BijUv%2F%2F%2Fw%3D%3Ds2UgYG3GIUk1aFZhazSrKroq6vItCwsiuU5MfF497TlkXtKWU5l2RZhzweonlysWa6Bvc55wjvYCVelwLupq5DPPkWQmle2V65pkFcVf6IBR4hwNt1smDDaxLud3ubHkOA7t5glsD1fuilsGk3GhlV8v%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKmpiywcaMwKptlo1C4f8U%2FtjMLMF37IGTcafAkl8SUA1yVIMMNqLACnbjknB0qr9OINJO0cBUUOEf95BYgHLHSkPg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEpxBp%2BaXRwXvCFvykGJ9Ww0sqVTQPH88BQ6a189W2RF2ykudW4LAgR4Xxl%2FdcF1QLKsqxW0qhfZO6ZWqmf91l15t1woZLwre%2F0c6LfC8XQvOaVEQABQ%2BEHw28GHTiiTOmI2yvunS%2BQdd6eogu62HiyClN3kmpzj8HKpYJst8kuZb5HlPwDr9CsI0QPy9bqa1pyuu6hWTQwEWHGZEUDU8GMKdeKUxKcYSTz87KVEYwZxBZH6ygIEiA%2Foz%2FnMbM%2F6hl%2BLXtmnwnaNq1hpbxaJRnRvB0cjwVm1BUYVknE7IEMpz4%3D&nvMid=46633100618&catId=50000151
삼성전자 갤럭시북4 프로360 NT960QGK-K71A,2198000,https://cr.shopping.naver.com/adcr.nhn?x=AVfiFCUFJbAeoXp8XJigOf%2F%2F%2Fw%3D%3DsiqPi4mbqpqQ4OT30PwQoIzCHyt%2FcXRoILQq7zglZOBP2m%2FfFa014Vbw4CyFgdKsaAPg6ob9Y2IjJV1QEbLgqCEhwf23LaXI3%2BWBMrS282udbXyCWgblhATlkH5C9P4zXptzbKxkdv7T9NaJp9P8a8lVd6Z%2BmZ5fvTALbBBPmfKJiL5pNWLYG8nPcqciz%2FkvXDjgA9a2KoS2ZfNpmNR5%2B6RtDwm%2BqtcL%2F%2BsHW7V7DzFJvOkN1ObtekPcPUhD3%2FT7c7rNm5GDbb84wCB4v7qvvZsOmY27ZGze0Q%2BtXRlM4OxtarJoVrbEtunAYIkKGowOq%2B%2FnrwCgGOk7ZYLCXYydV9SEhb%2B5%2BbgCLWD5ufmjwVaCy5rjDnXk2U6sJ3Y5BNj1rOJi48AK%2FmFBORLryPSSaKqAhfbmRc6T9Q91MqoVII6p0dZVun8tw2qBXc%2BdUQUTYvc%2BIIDSqvcMNjrA1IXhW91gHsjYJosx2rC4rYQGspyTHlqwZOQbk3uUDUpXRNrAWwtIYh35n85gCNF9XAudNignRBw%2Fx1fIaU0iC4uSQTT0%2F1lfIt8sCTm0ExXtgj9g20GpAF0i%2BMVkEGuDKYzzpPEHQIiXcF4qwUXZ2sX76wW8%3D&nvMid=44879444618&catId=50000151
